MEGA_NM,SCHOOL_NM,x,y
경상남도,가야대학교,128.8725964250,35.2690859698
경기도,가톨릭대학교,126.8001440049,37.4881566372
서울특별시,가톨릭대학교,127.0046114637,37.5860245829
서울특별시,감리교신학대학교,126.9621260021,37.5674761821
충청북도,강동대학,127.6481520478,37.1420926439
강원도,강릉영동대학,128.8562751336,37.7465419601
강원도,강릉원주대학교,128.8689997132,37.7701726328
강원도,강원대학교,127.7444285685,37.8693523505
강원도,강원도립대학,128.8304236429,37.8768882350
충청북도,건국대학교(충주),127.9071701717,36.9491507649
서울특별시,건국대학교,127.0766525117,37.5423137189
충청남도,건양대학교,127.1085367695,36.1821013764
대전광역시,건양대학교,127.3431950022,36.3066744195
경기도,경기대학교,127.0361727839,37.3006397907
경상남도,경남과학기술대학교,128.0940119966,35.1807006878
경상남도,경남도립거창대학,127.9133192847,35.6742091174
강원도,경동대학교,128.5556348735,38.2498888642
경상북도,경북과학대학,128.3463781096,35.9824816416
경상북도,경북대학교,128.1453736286,36.3778051227
경상북도,경북전문대학,128.6138032101,36.8049464047
경상남도,경상대학교,128.1002889044,35.1515338838
경상북도,경운대학교,128.4677032882,36.1686913027
경기도,경인교육대학교,126.9172564700,37.4332592172
경상북도,경주대학교,129.1622281639,35.8300928469
서울특별시,경희대학교,127.0532586277,37.5963447192
대구광역시,계명문화대학,128.4895368440,35.8596090818
전라남도,고구려대학,126.6490813640,35.0075675426
충청남도,고려대학교(세종),127.2884945285,36.6107427407
부산광역시,고신대학교,129.0626877481,35.0789294588
충청남도,공주대학교,127.1407339137,36.4695069256
광주광역시,광신대학교,126.8853969642,35.2160594834
전라남도,광양보건대학,127.5673196133,34.9543738962
광주광역시,광주과학기술원,126.8415141872,35.2279067164
광주광역시,광주대학교,126.8954702962,35.1070207035
경상북도,구미1대학,128.2886301566,36.1504670622
경기도,국제대학,127.0816492940,37.0651993952
전라북도,군산간호대학,126.7600674135,35.9708707341
서울특별시,그리스도대학교,126.8543120073,37.5485948338
경상북도,금오공과대학교,128.3927005482,36.1453298876
광주광역시,기독간호대학,126.9161485344,35.1384043810
경상북도,김천대학교,128.0796246665,36.1384160623
경상남도,김해대학,128.9129673724,35.2535180276
충청남도,나사렛대학교,127.1196019063,36.7962241275
충청남도,남서울대학교,127.1429092781,36.9088768529
충청남도,단국대학교(천안),127.1687068162,36.8374628244
경기도,단국대학교,127.1283608880,37.3212676667
경상북도,대구가톨릭대학교,128.8077872533,35.9121909862
대구광역시,대구경북과학기술원,128.4565691477,35.7043569046
대구광역시,대구과학대학,128.5431618198,35.9294647588
대구광역시,대구교육대학교,128.5888739188,35.8517352042
대구광역시,대구보건대학,128.5434474818,35.9274895799
대구광역시,대구산업정보대학,128.6475768578,35.8535866540
대구광역시,대구한의대학교,128.6080491945,35.8372813593
부산광역시,대동대학,129.0956572955,35.2291407316
경상북도,대신대학교,128.7445172514,35.8039290645
충청남도,대전가톨릭대학교,127.1960452778,36.6552338353
대전광역시,대전신학대학교,127.4235127613,36.3505462166
광주광역시,동강대학,126.9239759958,35.1698514794
경상북도,동국대학교(경주),129.1943538450,35.8645218219
서울특별시,동덕여자대학교,127.0418417637,37.6062362533
부산광역시,동서대학교,129.0103783825,35.1441971652
부산광역시,동아대학교,128.9668584551,35.1157438228
경기도,동아방송예술대학,127.3595360699,37.0593262573
서울특별시,동양미래대학,126.8675529741,37.5006159251
경기도,동원대학,127.4008920084,37.3279412535
경기도,두원공과대학,127.4224532373,37.0644155582
서울특별시,디지털서울문화예술대학교,126.9438523767,37.5853891434
전라남도,명신대학교,127.3896438517,34.8496922752
대전광역시,목원대학교,127.3384673077,36.3246103641
전라남도,목포과학대학,126.4099231554,34.8074819200
전라남도,목포대학교,126.4355526462,34.9085061394
대전광역시,배재대학교,127.3662663070,36.3205247622
충청남도,백석문화대학,127.1824693516,36.8379365829
