공원명,위도,경도
장계공원,35.72771983,127.5923992
의암공원,35.6411154,127.5181094
장계어린이공원,35.7353782,127.5848383
뜬봉샘생태공원,35.59216368,127.5013989
일품공원,35.37633973,127.1481221
월랑공원,35.78714205,127.4264309
당산공원,35.79267283,127.4240517
용담체육공원,35.95351869,127.5227715
용담가족테마공원,35.95055211,127.5232448
마이돈농촌테마공원,35.771551,127.414511
마이봉미로공원,35.772481,127.417811
도통근린공원,35.418831,127.400892
김주열열사 추모공원,35.36423,127.307173
향교 1호,35.415176,127.3881528
향교 4호,35.41369706,127.3905248
도통 1호,35.417149,127.3901078
도통2호,35.41577287,127.3925303
도통 3호,35.42103877,127.3921762
도통 4호,35.41399342,127.3938253
도통 5호,35.41437,127.395748
도통 6호,35.41904682,127.399046
도통 7호,35.42030219,127.3998533
노암 1호,35.39521,127.373867
이백서곡,35.427154,127.4351955
주천송치,35.389227,127.40936
추심정 2,35.8183021,127.1549494
추심정 1,35.8188266,127.1548864
학봉,35.8042205,127.1525704
산성 1,35.8068432,127.1596261
산성 2,35.8078617,127.1571844
산성공원,35.7953531,127.1602416
원각사,35.81141643,127.1428994
완산공원,35.80968239,127.1417695
상산공원,35.80070049,127.1198769
송정공원,35.79814472,127.1174232
약수공원,35.79702585,127.1211804
세내공원,35.7960636,127.124643
그린공원,35.79492105,127.1214675
모퉁이공원,35.79372016,127.1181687
거마공원,35.7984286,127.1226567
강변공원,35.79913644,127.1109993
곰솔나무길공원,35.8003179,127.128379
안행구획제1공원,35.8019499,127.1291837
신안행로공원,35.799774,127.1314605
삼천주공공원,35.794779,127.1114402
함대공원,35.7947967,127.1070337
효천공원,35.7954049,127.1049515
삼천공원,35.7847381,127.0935428
불무 2,35.8048088,127.1465562
재실구역,35.8021494,127.1482498
불무 1,35.8042163,127.1466813
장승백이,35.8019409,127.1451674
흑석골,35.7976637,127.1494195
고사평 동 공원,35.83820556,127.1086174
안터공원,35.83091122,127.1196293
도내기샘공원,35.83172792,127.1168157
서신길공원,35.83159158,127.1144504
전룡공원,35.82800698,127.1168991
용두길공원,35.82743631,127.1136139
바구멀,35.8283414,127.1252804
명당골공원,35.8261764,127.1192304
서여울길공원,35.8361108,127.1111833
고사평서 공원,35.8360794,127.1086379
서일공원,35.83741908,127.1160863
서부공원,35.83436386,127.113067
선수촌공원,35.8347051,127.1191793
재뜸공원,35.82684179,127.1234647
