지역,중요도
강흥동,4.803502
용복동,3.3838
중인동,3.195174
신덕면,11.824898
강진면,3.449408
쌍치면,14.992627
동계면,5.435993
성내면,19.990355
백산면,11.19217
동진면,6.374149
줄포면,3.433034
대야면,6.795479
회현면,5.602903
서수면,4.839865
임피면,3.460873
감곡면,8.93596
산외면,4.270998
산내면,3.36334
대야면,6.795479
회현면,5.602903
서수면,4.839865
임피면,3.460873
덕과면,14.188708
대강면,6.077893
금산면,6.194255
금구면,4.45499
부량면,4.007491
백구면,3.192708
이서면,7.345283
구이면,6.893776
성수면,11.856437
부귀면,5.757887
백운면,3.175185
부남면,18.043266
안성면,5.535155
산서면,15.396314
천천면,7.083672
