EMD_CD,COL_ADM_SE,EMD_NM,SGG_OID,x,y
"45111101","45110",중앙동1가,"1883",127.1422780589,35.8166933061
"45111102","45110",중앙동2가,"1884",127.1436989390,35.8171627432
"45111103","45110",중앙동3가,"1885",127.1451642556,35.8176329698
"45111104","45110",중앙동4가,"1886",127.1449128088,35.8152337087
"45111105","45110",경원동1가,"1887",127.1473618270,35.8177902126
"45111106","45110",경원동2가,"1888",127.1494604811,35.8180597168
"45111107","45110",경원동3가,"1889",127.1490052124,35.8207405441
"45111108","45110",풍남동1가,"1890",127.1509969015,35.8185395721
"45111109","45110",풍남동2가,"1891",127.1525530685,35.8188284894
"45111110","45110",풍남동3가,"16017",127.1525130825,35.8160241798
"45111111","45110",전동,"1893",127.1483484536,35.8135705551
"45111112","45110",전동3가,"1894",127.1449048027,35.8131575572
"45111113","45110",다가동1가,"1895",127.1419539271,35.8148272254
"45111114","45110",다가동2가,"1896",127.1405131402,35.8141152663
"45111115","45110",다가동3가,"1897",127.1400985800,35.8170701812
"45111116","45110",다가동4가,"1898",127.1384883874,35.8198698162
"45111117","45110",고사동,"1899",127.1430299429,35.8202383834
"45111118","45110",교동,"16016",127.1618416041,35.8129112998
"45111119","45110",태평동,"1901",127.1383400672,35.8239712848
"45111120","45110",중노송동,"1902",127.1567705004,35.8244543313
"45111121","45110",남노송동,"1903",127.1593558804,35.8190757263
"45111122","45110",동완산동,"1904",127.1439975383,35.8085836083
"45111123","45110",서완산동1가,"1905",127.1381975352,35.8099627177
"45111124","45110",서완산동2가,"1906",127.1344490620,35.8098559629
"45111125","45110",동서학동,"1907",127.1582874153,35.8025058720
"45111126","45110",서서학동,"1908",127.1525746785,35.7933244093
"45111127","45110",중화산동1가,"1909",127.1343790657,35.8147832839
"45111128","45110",중화산동2가,"16007",127.1222589803,35.8177548294
"45111129","45110",서신동,"1911",127.1158631304,35.8323384001
"45111130","45110",석구동,"1912",127.1321013029,35.7660351312
"45111131","45110",원당동,"1913",127.1117657482,35.7617488333
"45111132","45110",평화동1가,"1914",127.1394960145,35.7954516910
"45111133","45110",평화동2가,"1915",127.1348388521,35.7852504544
"45111134","45110",평화동3가,"1916",127.1252782732,35.7787262558
"45111135","45110",중인동,"1917",127.0893970451,35.7556023338
"45111136","45110",용복동,"1918",127.0716237619,35.7700201004
"45111137","45110",삼천동1가,"1919",127.1204405309,35.7969004918
"45111138","45110",삼천동2가,"1920",127.1000471704,35.7859062798
"45111139","45110",삼천동3가,"1921",127.0807017867,35.7962636140
"45111140","45110",효자동1가,"16008",127.1229024053,35.8060053821
"45111141","45110",효자동2가,"15995",127.0993670450,35.8056177484
"45111142","45110",효자동3가,"16001",127.0965303556,35.8247070727
"45111143","45110",대성동,"1925",127.1734997403,35.7927317685
"45111144","45110",색장동,"1926",127.1962308036,35.7949406986
"45111145","45110",상림동,"1927",127.0753338450,35.8173105765
"45111147","45110",서노송동,"16015",127.1461911679,35.8260208497
"45113102","45110",진북동,"16014",127.1340175895,35.8279785500
"45113103","45110",인후동1가,"1930",127.1597837208,35.8326491404
"45113104","45110",인후동2가,"1931",127.1475528603,35.8422902504
"45113105","45110",덕진동1가,"15994",127.1317205842,35.8486039095
"45113106","45110",덕진동2가,"1933",127.1135591021,35.8455029246
"45113107","45110",금암동,"1934",127.1363753939,35.8409505647
"45113108","45110",팔복동1가,"1935",127.1061129472,35.8570706642
"45113109","45110",팔복동2가,"16013",127.0955648117,35.8544311629
"45113110","45110",팔복동3가,"16028",127.0931987822,35.8462616668
"45113111","45110",산정동,"1938",127.1733396635,35.8433316502
"45113112","45110",금상동,"1939",127.1929637192,35.8413696976
"45113113","45110",우아동1가,"1940",127.1984946234,35.8167840854
"45113114","45110",우아동2가,"1941",127.1704309509,35.8327431672
"45113115","45110",우아동3가,"1942",127.1604027570,35.8494345338
"45113116","45110",호성동1가,"1943",127.1548895429,35.8628745446
"45113117","45110",호성동2가,"1944",127.1462868730,35.8765502274
"45113118","45110",호성동3가,"1945",127.1380014212,35.8918442061
"45113119","45110",전미동1가,"1946",127.1233502969,35.8907465338
"45113120","45110",전미동2가,"1947",127.1039181461,35.8866433676
"45113121","45110",송천동1가,"1948",127.1261461207,35.8599019194
"45113122","45110",송천동2가,"1949",127.1221194440,35.8716385478
"45113123","45110",반월동,"1950",127.0679452873,35.8786681663
"45113124","45110",화전동,"1951",127.0533905311,35.8924796128
"45113125","45110",용정동,"1952",127.0525489001,35.8798229264
"45113126","45110",성덕동,"1953",127.0382889137,35.8774727493
"45113127","45110",원동,"1954",127.0363993650,35.8619090206
"45113129","45110",고랑동,"1955",127.0866805244,35.8811942531
"45113130","45110",여의동,"16032",127.0738318924,35.8603135319
"45113131","45110",만성동,"16034",127.0779423336,35.8398277196
"45113132","45110",장동,"1958",127.0583981136,35.8549515994
"45113133","45110",팔복동4가,"1959",127.1007422774,35.8658821608
"45113134","45110",도도동,"1960",127.0143769984,35.8820218286
"45113135","45110",강흥동,"1961",127.0099875060,35.8903126019
"45113136","45110",도덕동,"1962",127.0265396261,35.8916416425
"45113137","45110",남정동,"1963",127.0182214377,35.8711147505
"45113138","45110",중동,"1964",127.0618415622,35.8307383256
"45113139","45110",여의동2가,"16012",127.0850914172,35.8679392062
"45130101","45130",해망동,"1966",126.6836573862,35.9894371521
"45130102","45130",신흥동,"1967",126.7039107092,35.9871523142
"45130103","45130",금동,"1968",126.7068467609,35.9908719507
"45130104","45130",월명동,"76",126.7050654072,35.9844523488
"45130105","45130",신창동,"1970",126.7100128642,35.9867258690
"45130106","45130",오룡동,"1971",126.7084482077,35.9787868119
"45130107","45130",금광동,"75",126.7068523339,35.9817866835
"45130108","45130",신풍동,"74",126.7035073231,35.9800730758
"45130109","45130",송풍동,"69",126.6994338161,35.9800554373
"45130110","45130",문화동,"1975",126.7040903742,35.9739478558
"45130111","45130",삼학동,"1976",126.7122356295,35.9767465637
"45130112","45130",선양동,"1977",126.7123102224,35.9808900797
"45130113","45130",둔율동,"1978",126.7151104316,35.9816421251
"45130114","45130",창성동,"1979",126.7126421029,35.9835332128
"45130115","45130",명산동,"1980",126.7100750226,35.9837519185
"45130116","45130",송창동,"1981",126.7103991611,35.9817393519
"45130117","45130",개복동,"1982",126.7137298512,35.9845894205
"45130118","45130",중앙로1가,"1983",126.7120003692,35.9869447218
"45130119","45130",영화동,"1984",126.7111596000,35.9891240821
"45130120","45130",장미동,"1985",126.7142079353,35.9893191035
"45130121","45130",중앙로2가,"1986",126.7167310538,35.9830440042
"45130122","45130",영동,"1987",126.7157302148,35.9855216872
"45130123","45130",신영동,"1988",126.7194995947,35.9853496509
"45130124","45130",죽성동,"1989",126.7169838995,35.9860191587
"45130125","45130",평화동,"1990",126.7184627777,35.9838314516
"45130126","45130",중앙로3가,"1991",126.7185644282,35.9809194508
"45130127","45130",대명동,"1992",126.7218502460,35.9793634707
"45130128","45130",장재동,"1993",126.7190683776,35.9781952054
"45130129","45130",미원동,"1994",126.7158978682,35.9792645146
"45130130","45130",중동,"1995",126.7245726978,35.9838875362
"45130131","45130",금암동,"1996",126.7231733834,35.9858984212
"45130132","45130",동흥남동,"1997",126.7203184411,35.9748492681
"45130133","45130",서흥남동,"1998",126.7127365818,35.9733115874
"45130134","45130",조촌동,"1999",126.7410761705,35.9727636420
"45130135","45130",경장동,"2000",126.7304822681,35.9710088947
"45130136","45130",경암동,"2001",126.7312483680,35.9804214842
"45130137","45130",구암동,"2002",126.7519594219,35.9822699792
"45130138","45130",내흥동,"2003",126.7588438252,35.9972502677
"45130139","45130",개정동,"2004",126.7610367226,35.9674315268
"45130140","45130",사정동,"2005",126.7492614614,35.9613914128
"45130141","45130",수송동,"2006",126.7172921777,35.9641255538
"45130142","45130",미장동,"2007",126.7284029634,35.9637558776
"45130143","45130",지곡동,"2008",126.7086459431,35.9519541020
"45130144","45130",나운동,"2009",126.6970732465,35.9624594280
"45130145","45130",미룡동,"2010",126.6875987426,35.9482025369
"45130147","45130",오식도동,"66",126.5608402305,35.9529139251
"45130148","45130",비응도동,"2013",126.5315372309,35.9495584995
"45130149","45130",신관동,"2014",126.6717084607,35.9422427300
"45130150","45130",개사동,"2015",126.6529088212,35.9362454232
