"읍면동","주....소","V3","V4"
"중앙동주민센터","전라북도 전주시 완산구 태평3길 43-17",35.823637,127.1406569
"풍남동주민센터","전라북도 전주시 완산구 어진길 122-12",35.8170644,127.1480759
"노송동주민센터","전라북도 전주시 완산구 인봉1길 54",35.8244008,127.1583619
"완산동주민센터","전라북도 전주시 완산구 강당2길 7",35.8092437,127.1349012
"동서학동주민센터","전라북도 전주시 완산구 서학로 26",35.8094957,127.152241
"서서학동주민센터","전라북도 전주시 완산구 공수내로 24",35.8057447,127.1486711
"중화산1동주민센터","전라북도 전주시 완산구 한두평3길 16",35.8146113,127.1247287
"중화산2동주민센터","전라북도 전주시 완산구 화산천변로 30",35.8216332,127.1163796
"평화1동행정복지센터","전라북도 전주시 완산구 장승배기로 256",35.7980905,127.1402982
"평화2동주민센터","전라북도 전주시 완산구 평화18길 14-16",35.7955114,127.1352648
"서신동주민센터","전라북도 전주시 완산구 서신천변14길 10",35.8310316,127.1152968
"삼천1동주민센터","전라북도 전주시 완산구 성지산로 33",35.8007189,127.1216835
"삼천2동행정복지센터","전라북도 전주시 완산구 거마중앙로 49",35.7963297,127.1222939
"삼천3동주민센터","전라북도 전주시 완산구 삼천천변2길 37",35.7968155,127.1142874
"효자1동주민센터","전라북도 전주시 완산구 안행5길 59-3",35.8059091,127.1299802
"효자2동주민센터","전라북도 전주시 완산구 오두정1길 1",35.8068772,127.1195317
"효자3동주민센터","전라북도 전주시 완산구 강변로 180",35.8064645,127.1103052
"효자4동주민센터","전라북도 전주시 완산구 천잠로 186",35.8039552,127.0978652
"효자5동주민센터","전라북도 전주시 완산구 우전로 259",35.8176499,127.1015445
"진북동주민센터","전라북도 전주시 덕진구 벚꽃1길 88",35.8278718,127.131065
"인후1동주민센터","전라북도 전주시 덕진구 견훤로 290 ",35.8374869,127.156732
"인후2동주민센터","전라북도 전주시 덕진구 견훤왕궁로 244 ",35.8398975,127.1462267
"인후3동행정복지센터","전라북도 전주시 덕진구 구총목로 5",35.8278817,127.1607551
"덕진동주민센터","전라북도 전주시 덕진구 기린대로 533-7",35.8454197,127.1206809
"금암1동주민센터","전라북도 전주시 덕진구 기린대로 392 ",35.837394,127.1330736
"금암2동주민센터","전라북도 전주시 덕진구 거북바우로 50 ",35.8385943,127.1431273
"팔복동주민센터","전라북도 전주시 덕진구 신복5길 6 ",35.8536549,127.1062636
"우아1동주민센터","전라북도 전주시 덕진구 우아2길 25 ",35.8498198,127.1595078
"우아2동주민센터","전라북도 전주시 덕진구 진버들7길 25 ",35.8377747,127.16707
"호성동주민센터","전라북도 전주시 덕진구 동부대로 869 ",35.8636174,127.1495726
"송천1동주민센터","전라북도 전주시 덕진구 송천중앙로 116",35.8571207,127.1209879
"송천2동주민센터","전라북도 전주시 덕진구 두간9길 6 ",35.8648141,127.1156374
"조촌동주민센터","전라북도 전주시 덕진구 쪽구름로 150 ",35.8744047,127.0691409
"여의동주민센터","전라북도 전주시 덕진구 여암2길 9 ",35.8713543,127.0756245
"혁신동주민센터","전라북도 전주시 덕진구 오공로 43-24",35.8375349,127.0612916
"옥구읍사무소","전라북도 군산시 옥구읍 옥구로 6",35.923137,126.6853391
"옥산면사무소","전라북도 군산시 옥산면 산성로 200",35.9395359,126.7482412
"회현면사무소","전라북도 군산시 회현면 회현로 181",35.9130739,126.7568927
"임피면사무소","전라북도 군산시 임피면 남상2길 1",35.9825032,126.8504682
"서수면사무소","전라북도 군산시 서수면 탑천로 596, 1층 서수면임시청사",35.9812642,126.8777185
"대야면사무소","전라북도 군산시 대야면 석화로 7",35.9465888,126.8115303
"개정면사무소","전라북도 군산시 개정면 바르메길 42",35.9583508,126.7965829
"성산면사무소","전라북도 군산시 성산면 송호로 222",35.989557,126.7858828
"나포면사무소","전라북도 군산시 나포면 나포초교길 9",36.0303432,126.8320682
"옥도면사무소","전라북도 군산시 내항2길 125",35.9931022,126.7100514
"옥서면사무소","전라북도 군산시 옥서면 옥구저수지로 209 ",35.9244063,126.6451062
"해신동주민센터","전라북도 군산시 중앙로 220",35.9894727,126.7077002
"월명동주민센터","전라북도 군산시 구영6길 51",35.9863745,126.7090145
"삼학동주민센터","전라북도 군산시 미원로 17",35.9769541,126.7075696
"신풍동주민센터","전라북도 군산시 대학로 215",35.9728872,126.7007505
"중앙동주민센터","전라북도 군산시 큰샘길 47",35.9859058,126.7173906
"흥남동주민센터","전라북도 군산시 월명로 377",35.9778283,126.7152529
"조촌동행정복지센터","전라북도 군산시 조촌로 102",35.9730879,126.7380091
"경암동주민센터","전라북도 군산시 경암3길 56",35.9795836,126.7298509
"구암동주민센터","전라북도 군산시 세풍길 21",35.9854715,126.7434155
"개정동주민센터","전라북도 군산시 번영로 339-5",35.9642533,126.7544417
"수송동행정복지센터","전라북도 군산시 동수송1길 7",35.9646971,126.7177322
"나운1동행정복지센터","전라북도 군산시 신설3길 3",35.9667896,126.6948703
"나운2동행정복지센터","전라북도 군산시 나운3길 16",35.9648859,126.6996409
"나운3동주민센터","전라북도 군산시 부곡1길 25",35.9587971,126.6892534
"소룡동행정복지센터","전라북도 군산시 설림안4길 30",35.9736892,126.6838027
"미성동주민센터","전라북도 군산시 미성문화길 4-5",35.9592381,126.6568939
"함열읍행정복지센터","전라북도 익산시 함열읍 함열중앙로 83",36.0783411,126.9664873
"오산면행정복지센터","전라북도 익산시 오산면 평동로 323",35.9386367,126.916342
"황등면행정복지센터","전라북도 익산시 황등면 황등로 140-5",36.0045615,126.9449291
"함라면행정복지센터","전라북도 익산시 함라면 함라1길 65",36.0598417,126.9105615
"웅포면행정복지센터","전라북도 익산시 웅포면 강변로 9",36.0644313,126.8769959
"성당면행정복지센터","전라북도 익산시 성당면 황성로 727",36.0883158,126.9350873
"용안면행정복지센터","전라북도 익산시 용안면 용안교동1길 21",36.1199151,126.9523836
"낭산면행정복지센터","전라북도 익산시 낭산면 함낭로 949",36.0779282,127.0098804
"망성면행정복지센터","전라북도 익산시 망성면 안성로 726",36.1320676,127.0205444
"여산면행정복지센터","전라북도 익산시 여산면 여산동촌1길 13-12",36.0587554,127.0859513
"금마면행정복지센터","전라북도 익산시 금마면 고도3길 3",35.9930388,127.05302
"왕궁면행정복지센터","전라북도 익산시 왕궁면 흥암1길 14",35.9664499,127.0876993
"춘포면행정복지센터","전라북도 익산시 춘포면 춘포2길 11",35.9009756,127.0051958
"삼기면행정복지센터","전라북도 익산시 삼기면 황금로 513",36.0203572,126.984052
"용동면행정복지센터","전라북도 익산시 용동면 용동1길 80-31",36.1100032,126.9929995
"중앙동행정복지센터","전라북도 익산시 익산대로16길 47",35.9397773,126.952481
"평화동행정복지센터","전라북도 익산시 익산대로4길 12",35.9323,126.9453517
"인화동행정복지센터","전라북도 익산시 인북로4길 38",35.929487,126.9536311
"동산동행정복지센터","전라북도 익산시 동천로 82",35.9285115,126.9725637
"마동행정복지센터","전라북도 익산시 중앙로25길 5",35.9379778,126.9591761
"남중동행정복지센터","전라북도 익산시 인북로56길 8",35.9511387,126.9590733
"모현동행정복지센터","익산시 선화로 129(모현동 1가)",35.9511002,126.9473134
"송학동행정복지센터","전라북도 익산시 고현로 11",35.9385142,126.9402621
"신동행정복지센터","전라북도 익산시 인북로 353",35.959795,126.96124
"영등1동행정복지센터","전라북도 익산시 고봉로18길 34",35.9522883,126.9726271
"영등2동행정복지센터","전라북도 익산시 무왕로13길 18",35.9600131,126.9770306
"어양동행정복지센터","전라북도 익산시 동서로63길 43",35.9555332,126.9841492
"팔봉동행정복지센터","전라북도 익산시 무왕로 1408",35.9651011,127.0117017
"삼성동행정복지센터","전라북도 익산시 부송로 125",35.9627066,126.9894444
"신태인읍행정복지센터","전라북도 정읍시 신태인읍 신태인중앙로 14",35.6882185,126.8865353
"북면사무소","전라북도 정읍시 북면 정읍북로 570",35.6091025,126.8922361
"입암면사무소","전라북도 정읍시 입암면 정읍남로 489",35.5037484,126.7933891
"소성면사무소","전라북도 정읍시 소성면 소성상평로 19",35.5567122,126.7832213
"고부면행정복지센터","전라북도 정읍시 고부면 영주로 542 -12",35.6184497,126.7718582
"영원면사무소","전라북도 정읍시 영원면 영원로 1082",35.654941,126.7852669
"덕천면사무소","전라북도 정읍시 덕천면 황토현로 848",35.6186333,126.8426747
"이평면사무소","전라북도 정읍시 이평면 황토현로 293",35.6648128,126.8381001
"정우면사무소","전라북도 정읍시 정우면 정신로 609",35.6446897,126.8759117
"태인면사무소","전라북도 정읍시 태인면 정읍북로 1193",35.6505084,126.9325383
"감곡면사무소","전라북도 정읍시 감곡면 원삼1길 37",35.7147869,126.9284533
"옹동면사무소","전라북도 정읍시 옹동면 옹지동촌로 208",35.643502,126.9743254
"칠보면사무소","전라북도 정읍시 칠보면 칠보중앙로 68",35.6025116,126.9934389
"산내면사무소","정읍시 산내면 능교3길 14-6",35.5683253,127.0300935
"산외면사무소","전라북도 정읍시 산외면 산외로 462 -1",35.6214747,127.0420374
"수성동주민센터","정읍시 중앙1길 20",35.5693749,126.8498765
"장명동행정복지센터","전라북도 정읍시 중앙1길 147",35.5675666,126.856604
"내장상동주민센터","전라북도 정읍시 신경2길 12-2",35.5573771,126.8688232
"시기동주민센터","전라북도 정읍시 벚꽃로 323",35.5655986,126.8492959
"초산동주민센터","전라북도 정읍시 천변로 226",35.5619029,126.852448
"연지동주민센터","전라북도 정읍시 조곡천1길 5",35.5683973,126.8453523
"농소동주민센터","전라북도 정읍시 충정로 531-8",35.5832595,126.8285804
"상교동주민센터","전라북도 정읍시 구계교암길 277",35.5503297,126.8375139
"운봉읍사무소","전라북도 남원시 운봉읍 황산로 1083",35.4393297,127.5292719
"주천면사무소","전라북도 남원시 주천면 정령치로 61",35.3906415,127.4422907
"수지면사무소","전라북도 남원시 수지면 고주로 623-10",35.3392006,127.371411
